HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
1 5 7			0.0		0.0		0.0		0.3	0.6035	54.1236034243	4.2528
6 4 0			0.0		0.0		0.01		0.33737	1.8287	67.0910631577	58.6803
1 3 7			1.0		1.0		0.01		0.33738	0.1893	39.2755843192	5.3372
1 1 17			-1.0		-0.0		22.04		0.35282	2.447	70.2810461715	248.4175
5 3 7			0.3		0.3		16.98		0.35277	0.2523	60.5057581853	5.4388
1 1 7			0.22		0.52		13.92		0.3527	0.2012	29.7561292971	6.5386
2 4 4			-0.25		0.27		18.59		0.35312	0.8182	43.1484985256	64.6996
4 6 0			0.17		0.43		15.94		0.35312	0.7863	67.1083315067	59.4729
5 1 7			0.13		0.56		14.12		0.35308	0.2609	54.1000446603	4.252
0 0 4			-0.17		0.4		16.93		0.3527	0.8482	15.2869714585	59.1035
3 3 7			0.11		0.5		15.31		0.35265	0.1558	47.1418707618	3.5073
1 7 7			0.08		0.58		14.14		0.35258	0.4353	72.3061031614	6.1143
2 0 14			0.09		0.67		12.97		0.35248	0.2634	58.6945218607	7.3942
0 2 14			0.08		0.76		11.99		0.35225	0.2479	58.6982494177	6.3292
5 1 1			0.01		0.76		11.9		0.35213	0.5346	46.1701152	26.7419
6 0 2			0.06		0.82		11.26		0.35219	0.2214	55.354768557	5.4487
5 5 7			0.06		0.88		10.62		0.35213	0.6639	72.2860687267	4.3062
0 6 8			0.06		0.94		10.02		0.35242	0.7694	64.1950429677	5.6946
4 2 8			0.06		1.0		9.47		0.35253	0.7605	51.4203212226	2.5419
0 2 16			0.01		1.0		9.41		0.35216	1.8687	67.2407114996	13.8307
3 1 1			-0.04		0.96		9.84		0.352	0.5239	28.3131072915	41.7464
4 6 2			0.04		1.0		9.5		0.35197	0.2349	67.657370766	5.5969
3 3 15			0.05		1.04		9.07		0.35168	0.3402	73.0835579415	3.8877
1 3 13			0.01		1.06		8.96		0.35187	0.3907	59.4200243294	11.5335
1 5 3			-0.05		1.0		9.46		0.35163	0.9511	47.585042181	85.8034
6 4 2			0.03		1.04		9.17		0.3516	0.2211	67.6401768609	4.8049
7 1 7			0.03		1.07		8.88		0.35156	0.3505	72.2660298289	5.0526
2 0 16			0.01		1.08		8.79		0.35116	0.5935	67.2372591268	11.8907
3 1 13			0.01		1.09		8.71		0.35132	0.3869	59.4126405656	11.7895
0 6 2			0.02		1.11		8.51		0.35137	0.2356	55.3895592761	6.1752
1 5 13			0.01		1.12		8.47		0.35159	1.1973	71.2966048402	12.6128
6 0 6			0.03		1.15		8.19		0.35157	1.0815	60.1501886982	39.9969
0 2 20			0.03		1.18		7.96		0.35196	0.4494	86.0769303832	2.8517
3 1 9			0.03		1.21		7.74		0.35277	0.36	45.2950695798	8.7768
3 5 7			0.02		1.23		7.57		0.35271	0.2309	60.5203777188	5.6046
2 4 2			-0.0		1.23		7.59		0.35271	0.3828	40.8766170199	13.2501
0 6 10			0.02		1.25		7.45		0.35259	0.8527	69.1637693973	8.5049
5 1 9			0.03		1.27		7.25		0.35259	0.4583	58.9619928854	19.0838
4 2 14			0.02		1.3		7.09		0.353	1.2576	70.6282605877	19.9713
6 4 6			0.02		1.31		6.99		0.35373	0.9247	71.9614498967	41.9809
3 1 15			0.01		1.32		6.89		0.35297	0.2871	67.3554895111	7.7692
3 5 3			-0.08		1.24		7.49		0.35266	0.9259	54.5093201099	87.7589
3 1 7			0.02		1.26		7.35		0.35261	0.257	39.2655360855	5.205
0 4 2			-0.21		1.05		9.32		0.35319	3.2657	36.5744795411	137.7475
6 0 0			0.01		1.06		9.21		0.35319	0.7256	54.7363985401	55.434
0 6 16			0.01		1.08		9.09		0.35282	0.4825	89.3859051251	7.6515
2 0 8			0.02		1.1		8.91		0.35288	0.1665	35.7565424018	1.5727
6 0 10			0.01		1.11		8.78		0.35275	1.0728	69.1331306246	8.9056
4 2 6			0.02		1.13		8.64		0.3523	1.6049	46.7233273538	62.1975
2 4 8			0.02		1.15		8.47		0.35241	0.1687	51.4325245866	2.4593
0 6 6			0.02		1.17		8.3		0.35233	1.0147	60.183190367	40.9583
4 4 8			-0.2		0.97		10.41		0.35807	3.9407	61.1479986878	218.5721
1 1 13			0.01		0.98		10.26		0.35916	0.3722	52.9310122384	10.9703
0 2 12			0.01		0.99		10.12		0.35764	0.3827	50.6142203783	17.5707
4 6 6			0.02		1.01		9.95		0.35819	1.1903	71.9781772466	41.9784
6 0 8			0.02		1.03		9.77		0.35783	2.9234	64.163237895	5.3359
4 2 10			0.01		1.04		9.69		0.35744	1.1102	57.0442200735	11.3144
1 3 15			0.01		1.05		9.6		0.3576	0.2862	67.3623786269	8.1809
0 2 8			0.02		1.07		9.44		0.35773	0.1155	35.7619852008	1.7384
2 4 6			0.01		1.07		9.37		0.35634	0.785	46.7364348384	64.2552
6 0 12			0.01		1.09		9.24		0.35789	0.5892	74.995462768	0.9301
0 6 14			0.01		1.1		9.12		0.35785	0.9096	81.7552219026	27.2955
3 5 9			0.01		1.11		9.04		0.35719	0.4755	65.0802252419	19.5165
1 1 15			-0.01		1.1		9.1		0.35758	0.656	61.3839959686	20.6242
0 0 20			-0.04		1.06		9.53		0.36222	0.4542	83.3712939521	4.3689
2 6 6			-0.21		0.85		12.05		0.36184	5.383	63.2392339525	346.2148
